"","System",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","x","xmin","xmax"
"1","Pig1","Chao1","Duodenum","Jejunum",1,1,0,1,1,"ns",906.05908,1,0.733333333333333,1
"2","Pig1","Chao1","Duodenum","Ascaris",1,5,5,0.333,1,"ns",1064.9287,1,0.733333333333333,1.26666666666667
"3","Pig1","Chao1","Jejunum","Ascaris",1,5,5,0.333,1,"ns",1223.79832,1,1,1.26666666666667
"4","Pig2","Chao1","Duodenum","Jejunum",1,1,0,1,1,"ns",949.05808,2,1.73333333333333,2
"5","Pig2","Chao1","Duodenum","Ascaris",1,7,7,0.25,1,"ns",1107.9277,2,1.73333333333333,2.26666666666667
"6","Pig2","Chao1","Jejunum","Ascaris",1,7,7,0.25,1,"ns",1266.79732,2,2,2.26666666666667
"7","Pig3","Chao1","Duodenum","Jejunum",1,1,0,1,1,"ns",824.89408,3,2.73333333333333,3
"8","Pig3","Chao1","Duodenum","Ascaris",1,10,9,0.364,1,"ns",983.7637,3,2.73333333333333,3.26666666666667
"9","Pig3","Chao1","Jejunum","Ascaris",1,10,10,0.182,1,"ns",1142.63332,3,3,3.26666666666667
"10","Pig4","Chao1","Duodenum","Jejunum",1,1,0,1,1,"ns",1084.64708,4,3.73333333333333,4
"11","Pig5","Chao1","Duodenum","Jejunum",1,1,0,1,1,"ns",723.76308,5,4.73333333333333,5
"12","Pig5","Chao1","Duodenum","Ascaris",1,1,1,1,1,"ns",882.6327,5,4.73333333333333,5.26666666666667
"13","Pig5","Chao1","Jejunum","Ascaris",1,1,1,1,1,"ns",1041.50232,5,5,5.26666666666667
